Source,Target,Type
id,id,
type,type,
agreement_number,agreement_number,
amount,amount,
end_date,end_date,
execution_date,execution_date,
currency,currency,
start_date,start_date,
name,name,
renewal_alert_date,renewal_alert_date,
agreement_status,agreement_status,
renewal_date,renewal_date,
agreement_owner.first_name,agreement_owner_first_name,
agreement_owner.last_name,agreement_owner_last_name,
agreement_owner.email,agreement_owner_email,
categories.name,categories_name,
categories.status,categories_status,
vendor.name,vendor_name,
attachments.name,attachments_name,
subsidiaries.name,subsidiaries_name,
subsidiaries.type,subsidiaries_type,
department.name,department_name,
original_request.name,original_request_name,
opt_out_date,opt_out_date,
purchase_orders.type,purchase_orders_type,
renewal_workflow.name,renewal_workflow_name,
display_renewal_status,display_renewal_status,
requests.name,requests_name,
renewal_status,renewal_status,
